Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
January,1108,2,8.7,2,,,Obligation
January,1111,0.39,1.5,2,,,Obligation
January,1111,2,1.7,1,,,Obligation
January,1111,2,1.8,7,,,Obligation
January,1125,2,1.7,2,,,Obligation
January,1125,5,2.1,7,,,Obligation
January,1134,3,1.4,2,,,Obligation
January,1134,7,5.1,1,,,Obligation
January,1134,7,0.8,7,,,Obligation
January,1214,3,2.5,2,,,Obligation
January,1214,7,7.5,1,,,Obligation
January,1214,7,3.3,7,,,Obligation
January,1164,2,1.6,2,,,Obligation
January,1164,5,0.6,1,,,Obligation
January,1164,5,0.4,7,,,Obligation
January,1209,0.1,105.2,2,,,Obligation
January,1209,0.11,98.3,2,,,Obligation
January,1209,0.12,91.9,2,,,Obligation
January,1209,0.13,85.9,2,,,Obligation
January,1209,0.14,80.3,2,,,Obligation
January,1209,0.15,75,2,,,Obligation
January,1209,0.25,10.7,2,,,Obligation
January,1209,0.48,5.7,4,,,Obligation
January,1209,0.49,5.4,4,,,Obligation
January,1209,0.5,5,4,,,Obligation
January,1209,0.6,3.1,4,,,Obligation
January,1209,0.63,3.1,4,,,Obligation
January,1209,1.2,12.8,1,,,Obligation
January,1209,1.25,12.2,1,,,Obligation
January,1209,1.28,8.7,7,,,Obligation
January,1209,1.3,11.6,1,,,Obligation
January,1209,1.31,8.5,7,,,Obligation
January,1209,1.34,8.2,7,,,Obligation
January,1209,1.35,11,1,,,Obligation
January,1209,1.37,8,7,,,Obligation
January,1209,1.4,10.5,1,,,Obligation
January,1209,1.4,5.1,7,,,Obligation
January,1209,1.45,10,1,,,Obligation
January,1209,1.7,10,7,,,Obligation
January,1174,0.45,1.1,2,,,Obligation
January,1174,2.5,3.2,1,,,Obligation
January,1174,2.5,0.7,7,,,Obligation
January,1179,0.25,0.3,2,,,Obligation
January,1179,2.25,0.7,1,,,Obligation
January,1179,2.25,0.3,7,,,Obligation
January,1206,0.75,2.5,2,,,Obligation
January,1206,2.75,7,1,,,Obligation
January,1206,2.75,3.7,7,,,Obligation
January,1189,2,0.2,2,,,Obligation
January,1189,5,0.6,1,,,Obligation
January,1189,5,0.2,7,,,Obligation
January,1222,0.39,0.2,2,,,Obligation
January,1222,2,0.8,1,,,Obligation
January,1222,2,0.4,7,,,Obligation
January,1198,0.39,3.9,2,,,Obligation
January,1198,2,3.3,1,,,Obligation
January,1198,2,3.9,7,,,Obligation
January,1194,2,1.2,2,,,Obligation
January,1194,5,0.1,1,,,Obligation
January,1211,3,1.6,2,,,Obligation
January,1211,7,6,1,,,Obligation
January,1211,7,1,7,,,Obligation
January,1231,0.5,13,2,,,Obligation
January,1233,0.39,1,2,,,Obligation
January,1233,2,3.5,1,,,Obligation
January,1233,2,1,7,,,Obligation
January,1821,0.39,1.2,2,,,Obligation
January,1821,2,1.6,1,,,Obligation
January,1821,2,0.9,7,,,Obligation
January,1363,0.45,7.6,2,,,Obligation
January,1363,2.5,15.6,1,,,Obligation
January,1363,2.5,3,7,,,Obligation
January,1700,0.39,3.8,2,,,Obligation
January,1700,2,12.1,1,,,Obligation
January,1700,2,3.9,7,,,Obligation
January,1500,3,2.6,2,,,Obligation
January,1500,7,9.7,1,,,Obligation
January,1500,7,1.7,7,,,Obligation
January,1682,0.45,3.8,2,,,Obligation
January,1682,2.5,6,1,,,Obligation
January,1682,2.5,1.5,7,,,Obligation
January,1740,0.05,500,2,,,Obligation
January,1740,0.08,200,2,,,Obligation
January,1740,0.1,100,2,,,Obligation
January,1740,0.12,50,2,,,Obligation
January,1740,0.15,50,2,,,Obligation
January,1740,1.25,50,1,,,Obligation
